discussion_tier,priority_score,cnae_class,cnae_name,trade_value_usd,import_value_usd,export_value_usd,trade_balance_usd,domestic_production_value_brl_thousand,external_dependency_ratio,transition_relevance,rationale
2 - discutir na rodada seguinte,0.2024907588785385,2121,Fabricação de medicamentos para uso humano,7295092547.778677,6837488358.092604,457604189.6860732,-6379884168.40653,67164746.0,0.3629968986517551,False,valor comercial alto; forte exposi??o importadora; depend?ncia externa alta
2 - discutir na rodada seguinte,0.20249067408117377,2813,"Fabricação de válvulas, registros e dispositivos semelhantes",1162931951.7672482,906099444.4527928,256832507.31445536,-649266937.1383374,8353664.0,0.412138323268708,True,depend?ncia externa alta; relevante para transi??o energ?tica
2 - discutir na rodada seguinte,0.19814283515461895,2721,"Fabricação de pilhas, baterias e acumuladores elétricos, exceto para veículos automotores",409348097.95167434,352280163.2896596,57067934.66201474,-295212228.62764484,2579225.0,0.4554049086253741,True,depend?ncia externa alta; relevante para transi??o energ?tica
2 - discutir na rodada seguinte,0.19087220504051636,1710,Fabricação de celulose e outras pastas para a fabricação de papel,5239247949.0,86644976.0,5152602973.0,5065957997.0,68808155.0,0.0112596710929513,True,valor comercial alto; forte peso exportador; relevante para transi??o energ?tica
2 - discutir na rodada seguinte,0.19000938070058312,2866,Fabricação de máquinas e equipamentos para a indústria do plástico,147222698.41881776,138930576.23159668,8292122.187221087,-130638454.0443756,1009076.0,0.4371895864364113,True,depend?ncia externa alta; relevante para transi??o energ?tica
2 - discutir na rodada seguinte,0.1883951380908225,3031,"Fabricação de locomotivas, vagões e outros materiais rodantes",310767521.0,191348534.0,119418987.0,-71929547.0,2094258.0,0.4156774498800551,True,depend?ncia externa alta; relevante para transi??o energ?tica
2 - discutir na rodada seguinte,0.18719324827153347,2722,Fabricação de baterias e acumuladores para veículos automotores,342190418.0483258,291575695.7103405,50614722.33798528,-240960973.3723552,2571529.0,0.4061648964912323,True,depend?ncia externa alta; relevante para transi??o energ?tica
2 - discutir na rodada seguinte,0.182285637688565,0729,Extração de minerais metálicos não-ferrosos não especificados anteriormente,4360069685.0,241215948.0,4118853737.0,3877637789.0,47816821.0,0.0483356006842951,True,valor comercial alto; forte peso exportador; relevante para transi??o energ?tica
2 - discutir na rodada seguinte,0.18095325759426523,2441,Metalurgia do alumínio e suas ligas,3445928716.0,1046995753.0,2398932963.0,1351937210.0,119585346.0,0.0502727968321219,True,valor comercial alto; relevante para transi??o energ?tica
2 - discutir na rodada seguinte,0.1554658749900916,1011,"Abate de reses, exceto suínos",8632868470.441137,156549557.46039066,8476318912.980746,8319769355.520355,167609283.0,0.0068767813852733,False,valor comercial alto; forte peso exportador
