year,cnae_class,tsb_associated,tsb_grupo_exposicao,tsb_exposicao_scn67_max,formal_jobs,wage_mass,december_wage_mass
2024,1931,True,Alta exposicao TSB,1.0,138287,587845671.52,587845671.52
2024,3600,True,Alta exposicao TSB,0.9120999999999999,137151,1001654832.86,1001654832.86
2024,2512,True,Exposicao intermediaria TSB,0.0886,62357,168708126.48,168708126.48
2024,3321,True,Exposicao intermediaria TSB,0.1268,58781,177454518.56,177454518.56
2024,1721,True,Alta exposicao TSB,0.9998999999999999,40569,224952820.0,224952820.0
2024,1733,True,Alta exposicao TSB,0.9998999999999999,38832,154576474.39,154576474.39
2024,2422,True,Alta exposicao TSB,0.8140000000000001,33879,195702006.65,195702006.65
2024,3511,True,Alta exposicao TSB,0.9723,33224,398954207.95,398954207.95
2024,2423,True,Alta exposicao TSB,0.8140000000000001,31815,228062420.23000002,228062420.23000002
2024,1731,True,Alta exposicao TSB,0.9998999999999999,28025,106790657.46000001,106790657.46000001
2024,2441,True,Exposicao intermediaria TSB,0.3014,27064,158013244.46,158013244.46
2024,1742,True,Alta exposicao TSB,0.9998999999999999,22815,104077391.2,104077391.2
2024,1710,True,Alta exposicao TSB,0.9998999999999999,22742,205226914.81,205226914.81
2024,1741,True,Alta exposicao TSB,0.9998999999999999,22500,79034259.07,79034259.07
2024,2311,True,Exposicao intermediaria TSB,0.2389,20157,86469023.28,86469023.28
2024,2319,True,Exposicao intermediaria TSB,0.2389,19913,69568966.84,69568966.84
2024,2320,True,Exposicao intermediaria TSB,0.2389,17667,102762653.7,102762653.7
2024,2029,True,Exposicao intermediaria TSB,0.6944,15661,139331846.69,139331846.69
2024,2093,True,Exposicao intermediaria TSB,0.12210000000000001,14214,104524874.13,104524874.13
2024,2411,True,Alta exposicao TSB,0.8140000000000001,13740,53004719.870000005,53004719.870000005
2024,2424,True,Alta exposicao TSB,0.8140000000000001,13133,62460369.25,62460369.25
2024,1732,True,Alta exposicao TSB,0.9998999999999999,11872,51652787.58,51652787.58
2024,1749,True,Alta exposicao TSB,0.9998999999999999,11530,46769394.9,46769394.9
2024,2031,True,Exposicao intermediaria TSB,0.6944,10288,81257384.84,81257384.84
2024,2019,True,Exposicao intermediaria TSB,0.6944,9779,69338234.88,69338234.88
2024,2312,True,Exposicao intermediaria TSB,0.2389,7307,43114000.32,43114000.32
2024,2421,True,Alta exposicao TSB,0.8140000000000001,6912,49108460.54000001,49108460.54000001
2024,3520,True,Alta exposicao TSB,0.9723,5693,80690663.36,80690663.36
2024,2014,True,Exposicao intermediaria TSB,0.6944,5569,50844753.07,50844753.07
2024,1932,True,Alta exposicao TSB,1.0,5087,29556662.98,29556662.98
2024,2012,True,Exposicao intermediaria TSB,0.6944,4212,28215305.18,28215305.18
2024,2021,True,Exposicao intermediaria TSB,0.6944,3889,56311757.64,56311757.64
2024,1722,True,Alta exposicao TSB,0.9998999999999999,3066,16903609.5,16903609.5
2024,2032,True,Exposicao intermediaria TSB,0.6944,2649,19754776.76,19754776.76
2024,2033,True,Exposicao intermediaria TSB,0.6944,1565,13125041.89,13125041.89
2024,2011,True,Exposicao intermediaria TSB,0.6944,1335,13603169.8,13603169.8
2024,2022,True,Exposicao intermediaria TSB,0.6944,1192,10157768.43,10157768.43
2024,8411,False,Sem exposicao TSB direta,0.0,7874669,42916548224.15,42916548224.15
2024,8610,False,Sem exposicao TSB direta,0.0,1592650,6643913168.83,6643913168.83
2024,4711,False,Sem exposicao TSB direta,0.0,1570848,3510223566.15,3510223566.15
2024,5611,False,Sem exposicao TSB direta,0.0,1447353,2917995127.35,2917995127.35
2024,4930,False,Sem exposicao TSB direta,0.0,1313074,4134502949.68,4134502949.68
2024,8513,False,Sem exposicao TSB direta,0.0,1273293,3848398398.26,3848398398.26
2024,4120,False,Sem exposicao TSB direta,0.0,972699,2486278443.67,2486278443.67
2024,8211,False,Sem exposicao TSB direta,0.0,918414,3640179924.99,3640179924.99
2024,4744,False,Sem exposicao TSB direta,0.0,660964,1579946887.4,1579946887.4
2024,8121,False,Sem exposicao TSB direta,0.0,660558,1114890122.12,1114890122.12
2024,4781,False,Sem exposicao TSB direta,0.0,638992,1629171955.55,1629171955.55
2024,8011,False,Sem exposicao TSB direta,0.0,596677,1490706892.01,1490706892.01
2024,4771,False,Sem exposicao TSB direta,0.0,594214,1619480363.29,1619480363.29
