cnae5,descricao_cnae5,scn67,setor_scn67,criterio_classificacao
24415,Metalurgia do alumínio e suas ligas,2492,Metalurgia de metais não-ferosos e a fundição de metais,"TSB=Sim; peso no SCN67=30,14%"
25128,Fabricação de esquadrias de metal,2500,"Fabricação de produtos de metal, exceto máquinas e equipamentos","TSB=Sim; peso no SCN67=8,86%"
33210,Instalação de máquinas e equipamentos industriais,3300,"Manutenção, reparação e instalação de máquinas e equipamentos","TSB=Sim; peso no SCN67=12,68%"
35140,Distribuição de energia elétrica,3500,"Energia elétrica, gás natural e outras utilidades","TSB=Sim; peso no SCN67=42,20%"
35115,Geração de energia elétrica,3500,"Energia elétrica, gás natural e outras utilidades","TSB=Sim; peso no SCN67=36,28%"
35123,Transmissão de energia elétrica,3500,"Energia elétrica, gás natural e outras utilidades","TSB=Sim; peso no SCN67=13,89%"
35204,Produção de gás; processamento de gás natural; distribuição de combustíveis g...,3500,"Energia elétrica, gás natural e outras utilidades","TSB=Sim; peso no SCN67=4,52%"
35301,"Produção e distribuição de vapor, água quente e ar condicionado",3500,"Energia elétrica, gás natural e outras utilidades","TSB=Sim; peso no SCN67=0,34%"
36006,"Captação, tratamento e distribuição de água",3680,"Água, esgoto e gestão de resíduos","TSB=Sim; peso no SCN67=62,12%"
38114,Coleta de resíduos não-perigosos,3680,"Água, esgoto e gestão de resíduos","TSB=Sim; peso no SCN67=20,47%"
38211,Tratamento e disposição de resíduos não-perigosos,3680,"Água, esgoto e gestão de resíduos","TSB=Sim; peso no SCN67=6,92%"
37011,Gestão de redes de esgoto,3680,"Água, esgoto e gestão de resíduos","TSB=Sim; peso no SCN67=1,70%"
41204,Construção de edifícios,4180,Construção,"TSB=Sim; peso no SCN67=27,76%"
42219,Obras para geração e distribuição de energia elétrica e para telecomunicações,4180,Construção,"TSB=Sim; peso no SCN67=11,36%"
43215,Instalações elétricas,4180,Construção,"TSB=Sim; peso no SCN67=8,86%"
41107,Incorporação de empreendimentos imobiliários,4180,Construção,"TSB=Sim; peso no SCN67=6,81%"
42928,Montagem de instalações industriais e de estruturas metálicas,4180,Construção,"TSB=Sim; peso no SCN67=5,23%"
42995,Obras de engenharia civil não especificadas anteriormente,4180,Construção,"TSB=Sim; peso no SCN67=4,29%"
43304,Obras de acabamento,4180,Construção,"TSB=Sim; peso no SCN67=4,27%"
43291,Obras de instalações em construções não especificadas anteriormente,4180,Construção,"TSB=Sim; peso no SCN67=3,63%"
43223,"Instalações hidráulicas, de sistemas de ventilação e refrigeração",4180,Construção,"TSB=Sim; peso no SCN67=3,55%"
42227,"Construção de redes de abastecimento de água, coleta de esgoto e construções ...",4180,Construção,"TSB=Sim; peso no SCN67=1,48%"
42910,"Obras portuárias, marítimas e fluviais",4180,Construção,"TSB=Sim; peso no SCN67=0,29%"
42235,"Construção de redes de transportes por dutos, exceto para água e esgoto",4180,Construção,"TSB=Sim; peso no SCN67=0,18%"
49124,Transporte metroferroviário de passageiros,4900,Transporte terrestre,"TSB=Sim; peso no SCN67=45,39%"
49116,Transporte ferroviário de carga,4900,Transporte terrestre,"TSB=Sim; peso no SCN67=32,98%"
49400,Transporte dutoviário,4900,Transporte terrestre,"TSB=Sim; peso no SCN67=21,46%"
71120,Serviços de engenharia,7180,"Serviços de arquitetura, engenharia, testes/análises técnicas e P & D","TSB=Sim; peso no SCN67=100,00%"
